Centroid X µm,Centroid Y µm,DAPI: Cell: Mean,CD34: Cell: Mean,CD31: Cell: Mean,CD4: Cell: Mean,CD8: Cell: Mean,CD21: Cell: Mean,CD68: Cell: Mean,CD38: Cell: Mean,HLA-DR: Cell: Mean,CD3e: Cell: Mean,CD79a: Cell: Mean,Ki67: Cell: Mean,Bcl-2: Cell: Mean,MPO: Cell: Mean,CD20: Cell: Mean
8962.8,2404.4,775.2472,54.6966,0.2135,288.191,37.9551,35.0449,406.1011,73.3371,157.0562,234.8876,131,66.1236,3598.719,4.1011,190.5393
8829.4,2408.5,779.6983,66.2179,0.0056,1000.4581,30.4246,54.6704,422.6145,98.8715,81.9888,1019.8492,121.581,63.3743,2528.6816,9.5251,102.4804
8840.3,2408.4,1213.4248,82.0948,0.0327,508.9019,41.3007,50.683,641.2941,100.6699,112.6144,390.1895,119.2516,109.4967,4780.1211,23.0163,313.3856
8942.3,2411.1,967.9006,67.109,0.1058,406.2276,38.9615,48.2179,766.4199,105.7917,113.5865,313.657,99.5096,88.1571,2503.2917,17.3974,187.984
8849,2410.9,1307.2441,125.9979,0.0985,901.2634,117.0343,64.5867,1051.9742,218.5396,184.7002,806.8694,200.7859,103.2013,5909.6318,43.5118,622.3512
8902.9,2415.7,1062.2395,119.607,0.3977,813.3511,1116.5977,58.4953,927.9744,232.2279,204.4814,1257.3931,158.7698,62.7465,6587.186,38.1698,759.6884
8919.7,2416.3,1240.7821,95.6871,0,1654.7821,39.4022,72.7989,519.6816,143.0279,122.9665,2481.2178,56.6425,63.7374,4605.4136,34.3799,173.2346
8767.5,2415.9,1126.1851,128.605,0,1812.53,156.53,295.8,843.68,244.025,505.61,2301.77,189.47,50.895,10833.125,50.13,2941.22
8948.2,2417,1072.6843,90.2247,0.5707,1589.2677,87.6566,52.7247,1170.6793,175.0732,347.3485,1373.4799,112.4672,349.7349,4154.457,18.3182,433.2601
8856,2417,1425.5623,172.3534,0.0843,1065.1687,136.6546,88.4378,1369.4257,261.245,240.5141,711.4136,215.4056,79.5301,9128.2051,67.7349,1387.6626
8863.4,2417.4,1075.6548,97.5952,0.0417,2100.375,145.2857,82.0952,688.4881,157.9464,132.7321,2307.3154,104.369,66.2024,5450.0654,29.5595,652.4643
8889.7,2419.2,1221.4686,107.9029,0.2857,568.4857,135.6743,61.5829,948.3314,186.3143,178.3143,345.4629,125.3486,78.9086,4265.5371,40.2914,627.32
8933.5,2418.6,1393.0585,123.2943,0.0838,1377.7992,348.6472,65.0838,1827.5419,267.4171,264.6004,1326.2865,170.9493,75.77,4929.7329,42.7388,762.8694
8848.8,2420.6,1291.735,152.1486,0.4177,1199.4539,384.8996,112.9759,1648.6587,322.8474,384.7068,1133.506,295.3333,66.743,14671.333,85.8635,2415.731
8762.2,2420.7,1339.5261,203.5192,0.0418,1867.6481,538.4321,433.4983,1180.7108,348.1463,613.3937,3211.8328,435.3554,73.1882,14345.5781,86.5784,3414.1882
8905.7,2421.9,1036.9286,624.8214,78.8214,502.8929,335.9464,33,770.8036,163.5,182.6429,389.3929,98.3929,53.3393,2184.7678,36.8929,268.5179
8957.5,2422.5,1068.8038,113.512,18.9809,2514.0334,637.6028,79.0431,918.2393,278.2344,313.0287,4431.9902,122.0144,88.3684,4301.1338,36.5981,977.5455
8840.7,2422.7,1347.2085,123.9431,0.0806,874.1943,91.3033,110.891,1046.3459,263.7109,257.0663,603.7914,229.5735,248.1991,6030.981,48.8152,1318.8721
8866.5,2422.8,1172.3621,106.7155,0,888.181,80.6983,61.7241,758.7155,147.1379,292.7586,563.069,200.5776,69.4569,11789.9746,23.0948,1174.3276
8920.4,2422.5,1392.7759,206.1035,0.0345,2117.2012,129.4253,106.2759,1239.1265,367.4483,472.9195,2254.6321,305.9885,78.3218,10600.4307,71.3448,1402.1954
8858,2423.6,1237.957,149.0184,0.1595,2370.8711,191.8344,97.7301,991.6442,217.4356,131.0736,3283.5767,211.9386,75.2454,7221.5215,84.2699,505.546
8897,2424.4,1067.5399,111.7185,1.2353,770.0526,669.8235,61.1282,1404.8572,212.9874,220.3046,833.0693,198.1029,61.7899,8892.2627,35.3992,1414.1282
8927.6,2425.2,1244.1558,145.2295,0.068,1926.0624,561.7705,84.0028,3149.5383,283.8187,371.8754,2122.3513,221.6799,81.3201,7234.98,62.9972,1130.5439
8912.9,2424.9,1343.5818,176.0955,0.7591,1855.5955,115.3773,69.3318,1375.4636,304.7273,322.2,1528.3273,238.8182,67.3318,11206.5225,55.4545,969.8318
8939.8,2425.5,1432.527,174.4431,0.503,2137.7424,643.4131,97.8982,1631.3413,415.5569,459.9042,2015.4252,234.8743,61.5988,10581.0596,85.1437,2416.3652
8946.4,2426,1292.2075,167.4576,0.4906,2457.6746,329.6321,96.8632,1574.3915,306.6698,472.7783,2692.0237,229.316,72.0377,11113.1934,63.3491,1316.8773
8771.1,2425.7,1311.726,178.1045,0.1158,1318.6864,384.4576,626.856,1115.952,362.6441,581.8446,1670.7994,324.5396,78.0621,8921.1748,94.4237,3161.613
8888.3,2426.3,1049.7646,155.7974,288.8235,663.9542,110.8889,46.7386,852.366,179.4444,172.2353,413.1307,116.4444,59.3007,4319.5884,47.1503,574.1765
8748,2426.1,1249.1555,149.3595,0.0217,1139.7943,91.112,362.49,2102.2776,281.0502,674.6087,940.8997,313.2859,69.8712,13623.7676,72.7358,3001.592
8829.6,2427.2,1135.4611,113.6333,0.1167,1533.2833,116.9167,82.9778,1006.2167,205.5667,198.2611,1856.0056,204.9944,206.3778,6501.2388,39.55,744.1055
8862.9,2427.8,1556.5,158.1587,0.1202,2314.3318,213.3365,93.9087,949.9856,202.4567,190.2933,2468.572,148,72.8365,10502.2451,62.2885,644.726
8759,2426.9,1664.2816,280.2356,0.0172,963.9425,281.7701,240.1207,1226.8276,393.8448,799.2069,961.2931,631.954,83.9195,24840.3555,116.1667,3147.7585
8779.2,2427.6,1080.8134,168.1268,0.1831,2249.1797,542.8099,616.4648,1052.6302,352.9648,720.0282,2868.2466,329.7042,56.5246,12094.0527,99.3134,3915.5176
8845.3,2428,1274.2933,48.5133,0.1067,1568.4534,1794.8267,125.48,1150.6533,216.9933,314.2667,3101.7866,152.8333,218.0133,6114.5601,31.5,2134.5732
8850.8,2428.2,1097.2285,43.7071,0.0357,768.1429,760.5,65.1071,1041.0072,86.7786,224.7214,1033.8715,81.7929,63.2214,7410.0928,14.8643,1260.2928
8880.5,2427.8,964.7112,388.754,573.4064,576.2727,66.7807,82.5829,1064.6631,110.2299,248.7968,282.4759,74.2406,72.2674,3372.3423,78.6203,145.3743
8955.9,2428.7,1633.1362,157.1004,22.2115,3770.7312,755.8244,102.2115,1261.7455,379.7778,328.2617,5747.4302,181.8996,185.9391,6407.0215,79.0394,774.2903
8794.7,2428.2,930.1226,102.7076,0.0189,912.4245,142.5047,103.0236,623.8255,168.1038,327,880.0896,228.2076,62.1981,7962.519,35.283,2041.9717
8906.4,2429.1,1192.541,157.2462,9.5167,1958.5106,130.383,62.9909,1669.2371,280.9939,197.1064,1732.8298,141.4316,65.9271,4804.6899,50.0881,949.0973
8875.3,2428.9,859.2804,201.1215,352.6542,523.7103,68.7757,51.1308,726.1402,169.5981,212.9626,277.7664,92.0654,59.0935,2661.7944,49.3551,164.7383
8835.7,2429.3,1927.9233,150.0639,0.1693,1372.4824,158.4153,130.0479,1516.9648,327.6262,417.7125,881.7412,312.9457,1098.1438,13042.3223,72.4313,1601.0543
8821.1,2428.7,1170.7069,98.1576,0.9704,601.266,529.4926,66.2168,801.8818,195.4729,149.6897,969.5049,180.5739,66.9409,4402.7266,36.8399,563.1724
8764.9,2430.2,2028.9858,284.533,0.0377,1820.5944,131.1887,605.1604,1293.3868,535.2642,847.9104,1777.316,514.5849,133.5424,15104.6035,162.9009,3473.217
8942.8,2431,1524.2874,176,4.3218,2338.2415,539.1609,76.4713,1315.5977,371.4943,442.6322,2473.4368,276.5402,76.1839,10277.1953,59.5172,1389.4943
8918.3,2431,1876.1332,211.4221,0.4849,3345.7864,388.2111,110.0151,3017.3418,413.3694,328.9975,3936.7712,290.9045,93.2412,8947.9502,87.7236,1014.5075
8738.7,2431.2,709.4286,79.6807,0,397.4118,47.6975,196.1933,1192.2773,139.8487,148.9748,203.6807,112.9664,42.6639,4836.269,27.3697,484.5126
8786.5,2431.6,1486.5618,175.2051,1.1492,1083.2821,966.352,310.972,966.282,338.5291,584.0886,2339.1072,336.9371,64.2564,11081.4824,86.8462,3878.2961
8808.7,2431.8,1062.7598,92.8961,0.0325,430.2727,99.6169,59.2143,720.9286,147.8831,189.8506,371.4675,255.2792,63.1169,10473.5459,25.7468,657.3506
8936.5,2432.4,1741.7931,191.9154,0.373,2473.2979,625.2037,89.931,2207.0095,440.5235,351.185,3275.7712,258.815,81.5078,5890.2192,84.3166,1037.3167
8841.7,2432.9,1403.8765,47.8118,0.0353,2013.5117,33.5235,95.1647,978.1118,89.3,370.1941,1251.1294,139.3588,722.3941,6777.6118,15.5353,2018.1941
8857,2432.9,908.6154,94.1474,0.0577,1160.3334,128.8077,63.6923,837.1603,163.8718,312.9102,1126.2244,223.6474,48.0962,12844,34.0705,1090.5834
8757.7,2433,1791.5233,270.2798,0,949.8912,172.886,649.9275,1278.4508,470.5544,940.316,877.7979,645.9067,84.9223,21523.2539,125.4974,3596.1348
8894.7,2434.2,1545.9442,150.3085,1.0483,1513.7993,970.2639,89.5948,1091.0854,306.8178,208.4498,2196.8328,195.4833,69.4238,6438.4351,61.5167,1718.8513
8751.6,2433.6,1371.4155,178.1338,0,1173.2606,99.6549,263.5916,1918.176,488.0493,1168.1127,968.7747,544.5986,189.7958,16369.542,107.3732,4495.627
8960.5,2435.1,1863.9801,192.0224,2.0324,2066.6782,2720.0076,118.4065,1614.2444,502.3342,433.2045,4203.7729,260.2993,140.0873,9356.9648,97.7182,1481.9452
8768.3,2435.8,1707.5861,231.1667,0,998.2903,142.0914,1483.7097,1291.1559,514.2688,742.4247,766.7688,527.2258,173.9301,13612.4941,129.8871,3230.5161
8882.5,2434.3,1053.4716,357.1789,336.1382,670.4146,54.5285,65.6098,985.5447,166.7968,262.4553,509.0732,90.4634,55.9431,3565.8699,53.8049,165.0488
8797.3,2434.9,1195.7202,170.1101,0.122,1155.0178,133.253,231.8601,834.7202,292.0387,589.4256,944.4851,318.622,73.2946,13310.7295,80.4196,2719.0923
8774.3,2436,930.5196,148.4216,0,1617.098,133.6275,1294.4117,1020.1177,448.8726,1337.3431,1937.598,350.7843,54.0098,10846.4902,133.9706,4900.0293
8735.8,2435.9,735.631,118.6602,0,546.4272,57.5049,171.1068,777.1068,180.9709,514.4175,625.3204,198.9806,30.4757,7428.2622,48.9417,2184.7378
8851.9,2435.9,1396.1239,130.3349,0.6606,1283.2385,477.0459,80.7982,1749.9449,247.1468,227.9587,1458.3945,142.0734,69.8899,5837.7476,46.8624,953.1009
