Centroid X µm,Centroid Y µm,DAPI: Cell: Mean,CD34: Cell: Mean,CD31: Cell: Mean,CD4: Cell: Mean,CD8: Cell: Mean,CD21: Cell: Mean,CD68: Cell: Mean,CD38: Cell: Mean,HLA-DR: Cell: Mean,CD3e: Cell: Mean,CD79a: Cell: Mean,Ki67: Cell: Mean,Bcl-2: Cell: Mean,MPO: Cell: Mean,CD20: Cell: Mean
1322.3,3320.1,1054.4,10.7286,4.5143,548.2,10.7571,70.2714,1388.2858,1.1429,43.8714,47.3571,272.7143,25.3286,5747.2002,106.4429,2334.9856
1334.9,3330,1101.0924,28.606,2.2609,493.1169,4.5027,79.1033,1172.9565,4.0652,36.1929,76.9266,465.9674,775.3342,5876.0083,108.9946,2266.5679
1345.4,3337.3,1254.5111,23.2278,3.0722,349.9222,1.3139,92.3139,1169.7167,0.8083,17.8583,24.0722,198.9111,207.2417,4485.5083,70.6111,1299.6611
1334.7,3338.8,915.4573,37.9769,2.6836,462.3326,6.2102,106.0277,1208.1271,4.1986,59.7044,45.4157,356.1871,41.4249,9484.4688,97.6928,2966.679
1356.7,3344,1124.553,4.8353,14.7882,1110.0294,0,140.1882,1088.1058,0.2118,37.5412,308.8,244.5412,73.3824,5535.0942,101.1941,2618.3118
1350.1,3346.2,1124.3199,32.0711,2.5622,998.2911,3.5511,66.88,1118.9845,0.7133,44.4,301.6133,341.0089,255.88,6464.3091,110.6622,2711.3733
1363.6,3351.6,1274.6875,51.6226,4.4856,791.6755,12.4351,123.0361,1335.0312,6.0697,36.4543,163.6731,314.7404,17.875,7389.5239,119.0649,2351.7886
1328.4,3350.9,905.3071,24.4264,2.5076,679.1066,3.3782,63.6523,2519.9238,2.9137,57.1904,62.3426,290.8883,100.5711,5878.0332,97.3198,2812.6953
1342.5,3354.5,960.4254,23.3172,1.7948,793.3153,11.3787,99.7854,1082.9347,2.0541,49.278,127.7444,300.778,152.8377,6512.9907,111.6362,2862.2014
1325.2,3359.6,1075.5647,52.7624,1.8118,996.8707,5.1597,44.7319,1755.6426,6.2376,41.0475,143.865,256.9563,186.2471,6083.6558,123.6768,2719.095
1353,3358,1159.741,26.6557,4.3639,642.9082,3.0295,113.9443,1161.4164,2.4,42.459,104.2525,355.6426,31.4,7300.5806,109.3705,2820.282
1361.7,3361,1406.7465,37.7004,4.695,719.4486,4.0142,104.8759,1528.0177,2.3298,51.8174,71.0514,380.0337,24.8794,8407.0742,103.5018,2926.8635
1372.3,3363.9,1139.2241,19.4203,2.9892,450.2263,10.9591,114.2155,1269.0906,1.9095,44.7845,32.5625,413.7457,195.9073,8565.5605,105.2823,2787.7585
1336.4,3366.1,1318.0609,47.2763,2.5331,947.2153,4.1479,106.5071,1224.0247,3.0545,28.5434,203.9896,284.3943,251.9961,6409.563,110.6446,2400.1711
1349.3,3369.5,1215.0547,23.2403,1.8158,895.5439,9.5813,88.9237,1133.2777,2.1597,45.5698,182.9396,393.754,195.295,6823.6836,106.9597,2880.4331
1365.8,3372,1409.9943,103.1457,1.3143,723.68,6.44,137.7571,1209.3342,17.0829,41.4914,118.78,480.9771,307.7029,7957.1602,130.1257,3320.2456
1328.2,3375.2,1175.9158,33.6834,7.8894,1152.613,3.6294,69.6281,1441.2714,2.0251,47.0817,380.7914,293.9962,42.755,6114.4521,121.2563,2719.1609
1359.5,3376.5,1532.5011,47.805,1.3764,971.4717,7.5941,138.1565,1255.2811,3.0907,24.2381,173.7868,408.6054,125.5102,7302.4648,119.5057,2294.9729
1386.2,3376.6,1145.9586,24.7401,2.0066,431.9901,2.9437,96.7583,1066.851,0.7765,36.7781,45.8079,318.0828,197.2765,6390.917,103.8013,2578.3362
1375.8,3377.3,1191.629,35.3671,2.1071,608.0822,3.1243,153.4608,1126.0267,2.7514,41.0497,71.4034,378.8088,96.4149,7686.373,105.239,2832.3479
1392.5,3380.8,1345.5575,29.7876,1.4336,1161.2124,1.885,160.2301,1137.5664,0.5575,32.5133,247.7522,331.9734,39.115,5230.7432,128.4425,2509.1858
1353.3,3383.6,1186.3105,32.8,1.8053,861.3947,2.2079,73.9816,1103.271,2.8553,45.9132,148.6105,423.3474,43.4842,8278.2002,141.2658,2874.387
1342.4,3384.2,1096.7393,35.2702,2.4728,1138.3809,9.3846,119.257,1082.8574,3.773,37.5197,313.3696,274.9962,156.394,5700.6021,112.9887,2720.3528
1395.7,3387,1280.7882,27.7162,2.9934,1115.845,4.8013,172.9411,1093.1266,1.8472,31.4432,323.9083,305.5284,27.5895,6055.585,133.2751,1898.2926
1328.9,3386.3,1080.4897,24.5809,2.9818,825.4442,2.4647,95.0752,1121.5513,3.2141,49.9658,170.6948,339.5057,100.6264,6901.7061,104.4146,3199.9407
1370.5,3387.8,1346.2274,33.2913,2.3606,918.9973,2.215,155.5909,1226.8945,2.1096,39.8974,171.792,350.3384,611.337,7800.1221,117.6963,2321.0237
1402.1,3389.1,1412.0278,39.1944,2.6667,629.1945,24.7778,51.7778,1294.7778,1.6667,46.3889,82.4444,328.5,13.8333,8162.25,149.1667,2724.1943
1361,3390.7,1153.1963,38.8925,2.2617,558.6262,5.9439,74.7897,1146.7242,3.2523,46.8178,50.4486,355.8551,43.9486,6190.9814,116.6028,2750.4438
1381.4,3392.4,946.2061,32.8636,1.703,436.1151,6.6939,70.9545,1050.3879,2.8333,46.6727,45.3303,328.5879,14.3636,7501.9756,117.3121,2927.5029
1343.8,3394.7,1184.5963,35.9715,1.6449,795.5527,19.67,258.0569,1134.3048,3.6499,42.7521,250.1943,325.3233,316.464,5822.3721,126.3836,2914.6951
1403.2,3397,1332.6207,27.4133,1.8435,1083.17,3.3827,114.0017,1132.9813,1.9116,39.9099,209.1122,308.7092,61.3997,6942.3911,115.5714,2444.5527
1330.9,3397.6,1187.5911,57.3473,2.951,992.9216,12.3025,99.9986,1173.5812,4.6232,36.3908,156.5392,312.2829,107.9244,5777,118.7157,2351.6064
1356.6,3398.3,1139.8623,38.2151,2.2057,417.9925,4.166,142.6491,1082.4547,1.4792,37.8547,31.7151,298.1377,273.634,8608.3809,100.5887,2542.3264
1392.4,3401.5,1128.7484,50.7732,2.2186,717.5361,7.6722,88.1278,1083.5918,7.2577,42.2206,105.7299,356.967,24.066,7512.9321,103.2041,2684.6248
1375.7,3405.7,1114.8442,35.3641,1.8792,366.399,8.0859,136.2925,1066.3116,1.6375,46.8188,32.0811,351.1653,69.8188,7531.8154,104.7154,2888.5088
1346.7,3406.4,1164.4979,45.5535,1.7305,515.1111,5.3086,146.4342,1161.6501,2.2407,41.6728,53.4239,338.7428,159.3066,7282.0967,122.4218,3081.9011
1336.7,3407.2,990.3476,35.2299,2.3048,876.9412,2.7273,213.508,1036.4492,2.877,61.4225,227.3102,426.7059,21.0588,10011.6582,107.9786,2913.2996
1412.1,3410.3,1071.771,39.7052,2.0204,592.0476,0.737,86.5873,1267.3877,2.9841,36.5034,65.093,299.7528,159.3129,6910.6372,90.6258,2557.7119
1401.9,3411.7,1131.2709,28.4651,9.6607,1289.4296,8.3748,115.2079,1185.6608,2.5075,29.3776,317.762,255.8632,427.5828,4984.3145,117.3037,2300.7551
1355.4,3410.8,1069.7311,28.6759,1.9241,385.0517,8.2241,57.2,1061.0138,0.9345,18.1345,26.7138,238.869,338.8207,8410.6689,96.0586,1977.2173
1366.7,3412.4,1132.5585,38.3363,2.3644,464.68,1.8281,111.3704,1072.3718,6.2548,55.4948,48.2859,333.3407,31.0711,7918.6387,86.7452,2820.9214
1330.9,3414.5,1027.5908,31.1597,3.5864,567.2998,4.6652,67.0919,1388.2648,2.3807,52.4179,47.3873,435.7943,13.5667,8828.3545,99.477,2434.116
1385.7,3413.6,1155.9177,33.5758,3.7427,412.9201,8.4606,98.4935,1113.3055,4.2045,37.7474,161.3091,332.5358,58.8014,6654.959,116.5617,2385.8589
1346.1,3418.1,1132.4124,31.2477,2.646,857.4404,3.153,82.8072,1363.0233,2.965,39.41,64.3972,298.2745,37.1075,6705.4531,105.2383,3020.7629
1414.2,3419.8,1100.5255,28.5096,2.1146,1386.8885,1.9586,41.6879,1415.8854,4.2803,57.4331,261.7739,330.0956,143.8758,5972.4268,126.0955,3168.1147
1376.5,3420.6,1041.5831,43.6435,2.4743,724.4985,3.0665,93.2054,1131.5649,3.3505,46.2719,137.9154,430.7372,13.148,8929.6016,96.8218,2673.2991
1421.4,3424.1,1161.0083,24.741,1.9669,385.0826,4.1736,71.1736,1283.5895,0.3939,32.4105,30.1212,307.1515,19.4077,6218.8345,102.3802,2348.3306
1363.8,3424.5,1200.4463,21.9456,2.0964,1334.9783,6.5054,57.4121,1149.1633,0.9222,40.3515,333.86,281.7512,92.6392,5796.1138,108.6267,2725.9829
1324.5,3425.8,1013.5972,25.6971,0.9886,699.4971,3.2086,93.6514,1519.3857,3.8686,55.9571,60.1714,437.2886,16.2657,6867.3599,114.9429,3571.8228
1409.5,3428.8,908.6954,19.0943,1.9084,458.3639,0.8679,94.2345,1473.8302,2.7655,60.8949,42.8086,349.3531,6.9515,6392.3989,103.8086,3200.5903
1427.6,3429.2,1185.7241,46.0805,2.2586,436.8563,1.0747,63.7529,1323.7069,3.0345,45.7874,38.3276,443.7242,10.3563,9033.4717,106.8276,2354.5747
1372.6,3431.9,1155.3987,32.0891,2.4744,1181.9198,11.5234,90.7973,1206.5234,4.7416,46.0423,267.2272,332.9287,53.3118,6913.0869,127.4944,2590.6526
1417,3432.4,1080.8483,30.8482,1.6965,502.1907,3.1401,176.2646,1297.1051,1.8482,55.4903,55.9416,331.6809,14.1712,6193.3657,122.5914,3151.4241
1395.6,3432.5,1048.4095,32.3456,2.1341,665.6913,10.1206,71.3825,1624.5931,2.2754,43.5689,157.5401,367.1917,28.2511,7082.6519,111.018,2593.054
1330.5,3432.7,943.4272,16.6424,2.4557,541.7374,10.7816,43.9968,2864.5728,2.3608,56.0823,30.9494,380.3702,22.1614,6286.75,103.3861,2572.6172
1350.1,3433.9,1164.9165,30.5398,1.6941,846.7031,5.6028,106.892,1323.6208,2.4524,40.4293,131.3458,334.9704,27.3985,5945.3228,123.2314,2202.5515
1524.1,3433.4,632.1865,83.9603,0.6459,621.1434,55.19,85.0587,669.7858,26.9672,32.6943,97.0829,267.2953,547.8031,2995.9016,74.4024,2575.7305
1425.5,3436.4,1127.4338,17.6225,1.9099,462.4084,2.2085,81.5887,1223.9916,1.0507,48.1324,50.2704,356.9099,87.0113,8484.541,123.3831,2997.8535
